Closest approaches at Tevis Pl; PA (lat: 37.450204, long: -122.143786, elevation: 26), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
Tevis Pl; PA	52.6	42.2	49.8	46.2	57.6	8.5	6.1	4.6	3.6	2.9	2.5	0.7	0.7	0.5	0.3	0.2	0.2	9.3	6.4	5.0	4.3	3.4	3.0	10.7	8.2	6.2	4.7	3.9	3.4	13.3	9.0	6.7	5.0	4.0	3.5
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: a555c5 (2)	Flight ID: N443AC	07/04/18 11:31:21	2.38	2.39	1530729081.2	37.475419	-122.114078	0.11	90.00	900	64	128	134	11:31:32	8.088991e+05
ICAO: a555c5 (2)	Flight ID: N443AC	07/04/18 11:35:47	1.71	1.71	1530729347.1	37.464869	-122.118709	-0.40	85.83	200	70	1305	324	11:35:55	3.306537e+06
ICAO: a555c5 (2)	Flight ID: N443AC	07/04/18 11:37:50	1.04	1.06	1530729470.3	37.459143	-122.128502	-0.09	88.87	1100	76	-122	143	11:37:55	1.472692e+07
ICAO: a555c5 (2)	Flight ID: N443AC	07/04/18 11:40:55	1.71	1.71	1530729655.8	37.464634	-122.118474	0.46	89.99	146	70	1310	326	11:41:03	3.289251e+06
ICAO: a555c5 (2)	Flight ID: N443AC	07/04/18 11:44:11	2.76	2.77	1530729851.3	37.475143	-122.104388	-0.50	87.59	900	70	192	138	11:44:24	3.392276e+05
ICAO: a555c5 (3)	Flight ID: N443AC	07/04/18 18:08:35	1.70	1.70	1530752915.9	37.464682	-122.118769	-0.28	88.21	400	64	1262	317	18:08:43	3.718328e+06
ICAO: a555c5 (3)	Flight ID: N443AC	07/04/18 18:10:15	1.03	1.08	1530753015.4	37.457793	-122.127546	-0.38	83.29	1600	97	-94	144	18:10:20	1.115342e+07
ICAO: a555c5 (4)	Flight ID: N443AC	07/04/18 20:06:29	1.70	1.70	1530759989.2	37.46566	-122.119605	-3.22	66.93	400	52	1500	160	20:06:37	4.465903e+06
ICAO: a0fe7a (0)	Flight ID: SKW5667	07/04/18 06:42:51	0.40	0.95	1530711771.1	37.455605	-122.146414	-0.42	68.09	4600	260	-1243	347	06:42:55	5.735971e+06
ICAO: a0fe7a (3)	Flight ID: SKW371Y	07/04/18 19:27:26	4.96	5.71	1530757646.9	37.492401	-122.21694	0.00	90.00	14975	350	2048	107	19:27:53	2.193951e+02
ICAO: a1512f (1)	Flight ID: SKW3312	07/04/18 09:56:06	0.94	1.02	1530723366.1	37.447128	-122.127121	-0.19	82.12	2175	211	-820	6	09:56:10	5.874285e+06
ICAO: a125f9 (1)	Flight ID: SKW3409	07/04/18 09:49:37	2.92	2.98	1530722977.8	37.427285	-122.098972	0.10	90.00	2948	201	-128	24	09:49:51	7.683435e+04
ICAO: a0fac3 (0)	Flight ID: SKW5276	07/04/18 06:50:51	3.03	3.38	1530712251.9	37.411985	-122.170835	-0.09	88.90	7975	236	-1020	122	06:51:07	2.876222e+04
ICAO: a0fac3 (0)	Flight ID: SKW5276	07/04/18 06:52:04	3.06	3.28	1530712324.8	37.431886	-122.09292	0.35	90.00	6140	239	-640	25	06:52:20	3.521023e+04
ICAO: a0fac3 (2)	Flight ID: SKW5423	07/04/18 12:27:55	2.00	2.19	1530732475.7	37.430654	-122.116959	0.36	90.01	4728	198	-1262	44	12:28:06	4.039997e+05
ICAO: a8a3ac (0)	Flight ID: Other	07/04/18 06:50:10	4.85	4.89	1530712210.2	37.514581	-122.108503	-0.29	87.80	3236	227	-1719	277	06:50:33	1.603099e+03
ICAO: a923a9 (0)	Flight ID: UAL471	07/04/18 06:50:51	2.85	3.04	1530712251.9	37.445596	-122.092139	-0.31	85.46	5550	252	-1202	17	06:51:06	5.413483e+04
ICAO: a923a9 (2)	Flight ID: UAL435	07/04/18 22:22:04	1.35	1.55	1530768124.7	37.458618	-122.165923	-0.31	81.47	4050	213	-1492	15	22:22:11	1.582445e+06
ICAO: ab97ff (1)	Flight ID: ASA1925	07/04/18 10:50:19	0.72	1.18	1530726619.4	37.451246	-122.156861	0.06	90.00	4949	218	-462	5	10:50:24	3.796244e+06
ICAO: ab6542 (1)	Flight ID: UAL334	07/04/18 10:56:44	0.06	0.88	1530727004.7	37.450177	-122.144899	0.12	90.01	4638	271	-1176	345	10:56:48	6.871307e+06
ICAO: aaf27c (0)	Flight ID: Other	07/04/18 06:56:32	1.66	1.93	1530712592.9	37.434759	-122.120593	0.20	90.01	5246	203	-1536	58	06:56:41	6.880627e+05
ICAO: aaf27c (2)	Flight ID: UAL16B0	07/04/18 14:16:08	0.33	0.79	1530738968.2	37.45472	-122.145996	0.00	90.00	3800	254	-1344	346	14:16:11	9.404676e+06
ICAO: a1d4bc (1)	Flight ID: CPZ6033	07/04/18 10:36:57	0.22	0.95	1530725817.3	37.453217	-122.142315	-0.30	77.54	4925	202	121	10	10:37:01	7.401975e+06
ICAO: ace8bd (0)	Flight ID: N9305N	07/04/18 06:52:50	2.07	2.07	1530712370.7	37.45472	-122.106529	0.00	90.00	375	87	768	112	06:53:00	1.192699e+06
ICAO: ace8bd (1)	Flight ID: Other	07/04/18 09:37:05	2.16	2.17	1530722225.0	37.455714	-122.104956	0.35	90.00	574	87	23	183	09:37:15	9.637617e+05
ICAO: ~2b0c23 (0)	Flight ID: Other	07/04/18 06:52:49	2.04	2.04	1530712369.7	37.451555	-122.106589	0.00	90.00	375	78	0	142	06:52:59	1.404378e+06
ICAO: ~2b03dd (0)	Flight ID: Other	07/04/18 06:55:00	0.30	0.95	1530712500.4	37.454115	-122.146056	-0.31	73.96	4775	239	-640	346	06:55:04	6.376574e+06
ICAO: a4028d (0)	Flight ID: N322RX	07/04/18 07:06:39	0.13	0.25	1530713199.9	37.448482	-122.14274	0.20	90.05	1125	121	-525	242	07:06:41	1.590728e+08
ICAO: a4028d (1)	Flight ID: N322RX	07/04/18 08:46:12	1.76	1.76	1530719172.6	37.458351	-122.113395	0.00	90.00	250	60	512	331	08:46:20	3.432771e+06
ICAO: ~2b09ad (0)	Flight ID: Other	07/04/18 06:56:19	1.43	1.79	1530712579.6	37.444339	-122.118829	-0.07	87.82	5700	238	-1733	21	06:56:27	8.141440e+05
ICAO: a47fd9 (0)	Flight ID: UAL870	07/04/18 07:01:51	0.43	1.24	1530712911.5	37.447586	-122.136763	-0.12	85.17	6150	283	-904	54	07:01:57	2.523430e+06
ICAO: a3774b (1)	Flight ID: N322RX	07/04/18 08:17:29	1.97	1.97	1530717449.1	37.43582	-122.174775	0.00	90.00	525	16	512	347	08:17:38	8.021351e+06
ICAO: a3774b (1)	Flight ID: N322RX	07/04/18 08:19:00	0.07	0.14	1530717540.5	37.450112	-122.142593	-0.17	65.52	650	94	97	74	08:19:01	4.517757e+08
ICAO: a3774b (2)	Flight ID: N322RX	07/04/18 08:46:42	1.92	1.93	1530719202.5	37.464915	-122.113992	0.00	90.00	425	62	448	355	08:46:51	2.289431e+06
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:02:38	1.73	1.74	1530712958.6	37.468407	-122.121993	-1.02	77.29	600	86	831	329	07:02:46	2.511155e+06
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:08:06	1.91	1.91	1530713286.6	37.46858	-122.117775	-0.46	88.89	500	69	405	311	07:08:15	2.122324e+06
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:10:00	2.66	2.66	1530713400.5	37.470945	-122.102972	0.23	90.00	738	71	-113	126	07:10:12	4.149360e+05
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:14:02	1.88	1.88	1530713642.2	37.469345	-122.119401	-0.36	88.90	478	78	662	8	07:14:11	2.012037e+06
