Closest approaches at SIDBY SFO Approach SE (lat: 37.450711, long: -122.144722, elevation: 25), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
SIDBY SFO Approach SE	52.8	42.3	49.7	46.3	57.9	9.2	6.2	4.6	3.8	3.1	2.5	1.3	1.1	0.7	0.5	0.4	0.3	9.3	6.0	5.0	4.5	3.7	2.8	12.0	7.9	5.8	5.0	4.0	3.6	14.0	9.7	6.7	5.3	4.3	3.5
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:23:41	3.32	3.32	1530714221.0	37.453114	-122.084228	-0.02	89.95	475	74	-287	143	07:23:56	1.031988e+05
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:25:19	1.96	1.96	1530714319.9	37.45107	-122.108917	-0.46	88.66	40	62	-340	291	07:25:29	2.088446e+06
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:27:28	1.88	1.88	1530714448.3	37.463286	-122.114291	0.00	90.00	275	23	256	97	07:27:37	6.801123e+06
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:27:46	1.89	1.89	1530714466.0	37.4685	-122.118471	-0.39	85.19	525	37	679	335	07:27:54	4.096590e+06
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:28:58	2.76	2.76	1530714538.2	37.482	-122.113515	-0.11	88.68	800	48	142	84	07:29:11	4.991867e+05
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:29:40	2.94	2.95	1530714580.8	37.461098	-122.092677	-2.25	82.88	700	94	432	131	07:29:54	1.743131e+05
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:31:33	0.72	0.72	1530714693.4	37.46114	-122.145145	-0.35	66.22	71	168	-69	209	07:31:36	1.746507e+07
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:34:27	1.80	1.80	1530714867.5	37.467289	-122.119486	-1.49	71.85	425	73	992	335	07:34:35	2.570100e+06
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:35:45	2.77	2.77	1530714945.9	37.479812	-122.109992	0.00	90.00	750	45	64	86	07:35:58	5.192684e+05
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:36:06	2.72	2.72	1530714966.6	37.470781	-122.10211	-0.90	84.08	700	60	-99	127	07:36:19	4.323996e+05
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:39:38	1.66	1.66	1530715178.9	37.460077	-122.116925	-0.09	89.68	304	70	361	295	07:39:46	3.726304e+06
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:42:29	2.88	2.89	1530715349.5	37.463379	-122.094587	-8.44	63.24	650	164	412	150	07:42:43	1.127966e+05
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:46:53	1.75	1.75	1530715613.5	37.464882	-122.118324	0.21	89.99	387	80	532	328	07:47:01	2.623869e+06
