Closest approaches at EDDYY(3) (lat: 37.374903, long: -122.119028, elevation: 206.5), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
EDDYY(3)	42.4	36.6	42.3	40.5	45.7	8.0	5.2	3.4	2.7	2.2	1.9	0.7	0.4	0.2	0.2	0.1	0.2	7.3	4.5	3.1	2.3	2.0	1.7	12.0	7.5	4.8	3.7	3.1	2.3	12.0	8.2	5.5	4.5	3.8	3.4
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: a1c997 (0)	Flight ID: CPZ6011	07/04/18 08:32:34	2.45	2.50	1530718354.2	37.390869	-122.07926	-0.35	84.51	2875	213	-896	322	08:32:45	1.942651e+05
ICAO: aa8864 (4)	Flight ID: Other	07/04/18 18:35:41	0.39	1.03	1530754541.9	37.380451	-122.117754	-0.36	72.92	5245	272	-1497	344	18:35:46	4.459242e+06
ICAO: a2fb32 (0)	Flight ID: Other	07/04/18 08:30:33	2.85	2.88	1530718233.8	37.385805	-122.068908	0.38	90.03	2377	202	-847	326	08:30:47	9.240310e+04
ICAO: a577d4 (0)	Flight ID: Other	07/04/18 08:37:31	2.33	2.38	1530718651.4	37.366504	-122.077988	-0.11	87.62	2825	246	-1145	20	08:37:42	2.162249e+05
ICAO: ab4c9f (0)	Flight ID: Other	07/04/18 08:39:23	0.17	1.12	1530718763.0	37.377304	-122.119724	-0.15	85.55	6025	276	-1462	343	08:39:28	3.520737e+06
ICAO: ~2b0d2e (0)	Flight ID: Other	07/04/18 08:37:22	2.37	2.43	1530718642.6	37.370368	-122.076257	-0.55	81.94	3100	231	-890	17	08:37:34	2.054666e+05
ICAO: ~2b0d32 (0)	Flight ID: Other	07/04/18 08:36:44	2.46	2.66	1530718604.2	37.408633	-122.104499	0.00	90.00	5525	240	-1088	4	08:36:56	1.225714e+05
ICAO: ~2b076c (0)	Flight ID: Other	07/04/18 08:38:56	1.52	1.97	1530718736.7	37.354028	-122.110529	0.00	90.00	6850	1125	-1344	343	08:39:05	1.143106e+05
ICAO: aa1568 (1)	Flight ID: EJA749	07/04/18 17:17:33	3.31	3.55	1530749853.7	37.334292	-122.151071	0.06	90.00	6975	262	56	122	17:17:50	1.852343e+04
ICAO: abf396 (0)	Flight ID: SWA1958	07/04/18 08:45:36	0.08	1.11	1530719136.8	37.376091	-122.118753	0.27	90.13	6035	263	-1916	344	08:45:41	3.777739e+06
ICAO: abb459 (0)	Flight ID: ASA1742	07/04/18 08:48:45	3.28	3.45	1530719325.2	37.413757	-122.153535	-0.83	80.88	5700	243	-1845	72	08:49:01	2.462975e+04
ICAO: abb459 (2)	Flight ID: ASA1752	07/04/18 16:00:21	4.75	4.82	1530745221.3	37.437927	-122.153827	-1.52	77.18	4375	231	-1765	101	16:00:43	1.793341e+03
ICAO: abb459 (3)	Flight ID: ASA1222	07/04/18 18:00:46	2.78	3.92	1530752446.9	37.367249	-122.168685	0.00	90.00	14825	410	1728	104	18:01:05	5.706306e+03
ICAO: a01c76 (0)	Flight ID: BYF15	07/04/18 08:47:45	4.66	4.66	1530719265.0	37.44191	-122.109063	0.00	90.00	700	79	-320	102	08:48:06	7.085271e+03
ICAO: a01c76 (0)	Flight ID: BYF15	07/04/18 09:19:54	4.93	4.93	1530721194.7	37.443682	-122.095124	0.33	89.97	567	83	171	265	09:20:17	4.064097e+03
