Closest approaches at NARWL (lat: 37.274781, long: -122.079306, elevation: 778.0), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
NARWL	37.5	32.0	38.2	37.0	39.7	9.2	5.2	3.4	2.6	2.1	1.8	0.7	0.4	0.2	0.2	0.2	0.2	10.0	5.6	4.1	3.0	2.2	2.1	12.7	7.1	4.6	3.7	3.1	2.5	13.3	7.5	4.8	3.7	2.9	2.3
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: 86eea0 (0)	Flight ID: ANA172	07/04/18 11:05:19	3.33	3.39	1530727519.7	37.297746	-122.025982	-0.44	85.72	3975	197	-839	337	11:05:35	3.420369e+04
ICAO: a25b3f (0)	Flight ID: ASA332	07/04/18 11:02:40	0.70	1.34	1530727360.0	37.265076	-122.075462	-0.06	88.83	6800	241	-1355	92	11:02:46	2.291322e+06
ICAO: aaad49 (0)	Flight ID: Other	07/04/18 10:59:11	0.07	1.30	1530727151.3	37.275496	-122.080327	0.31	90.28	7657	281	-1408	343	10:59:17	2.141819e+06
ICAO: a05b45 (0)	Flight ID: N122BM	07/04/18 11:10:29	1.99	2.13	1530727829.8	37.291506	-122.049854	0.13	89.81	4841	134	760	144	11:10:39	6.730419e+05
ICAO: a05b45 (1)	Flight ID: N122BM	07/04/18 15:09:39	1.87	1.92	1530742179.9	37.288651	-122.050041	-0.15	88.23	3100	161	-493	333	15:09:48	8.833711e+05
ICAO: ~2b087e (0)	Flight ID: Other	07/04/18 11:10:59	0.45	0.91	1530727859.7	37.281313	-122.080018	-0.41	73.72	4950	222	-320	60	11:11:03	7.590159e+06
ICAO: ~2b0a74 (0)	Flight ID: Other	07/04/18 11:09:37	4.41	4.60	1530727777.6	37.333964	-122.109275	0.00	90.00	7650	252	-1216	8	11:09:59	2.518024e+03
ICAO: 0d08ef (0)	Flight ID: AMX668	07/04/18 11:12:03	0.07	1.35	1530727923.5	37.275654	-122.079761	0.44	90.27	7901	279	-1300	344	11:12:09	1.929456e+06
ICAO: a869bc (0)	Flight ID: JBU736	07/04/18 11:15:39	0.05	1.34	1530728139.4	37.275531	-122.079631	0.02	90.23	7872	282	-656	343	11:15:45	1.933947e+06
ICAO: aaa224 (0)	Flight ID: SWA1383	07/04/18 11:26:43	1.80	2.14	1530728803.3	37.29986	-122.07037	0.36	90.20	6844	269	-1296	104	11:26:53	3.326075e+05
ICAO: a74fe9 (0)	Flight ID: N570RJ	07/04/18 11:29:24	3.36	3.37	1530728965.0	37.298177	-122.025679	0.49	90.03	1688	132	-159	152	11:29:40	5.316666e+04
ICAO: a74fe9 (1)	Flight ID: N570RJ	07/04/18 17:06:43	3.21	3.22	1530749203.1	37.289553	-122.023893	-0.15	88.46	2225	178	-512	344	17:06:58	5.235157e+04
ICAO: a11fa8 (1)	Flight ID: Other	07/04/18 15:43:48	4.27	4.29	1530744228.3	37.292905	-122.005084	-0.46	86.93	3325	162	-640	341	15:44:08	7.008158e+03
ICAO: a83222 (0)	Flight ID: N627VJ	07/04/18 11:42:21	1.91	2.09	1530729741.2	37.292253	-122.052433	-0.34	87.22	5350	81	811	142	11:42:31	1.202339e+06
ICAO: ~2b00b9 (0)	Flight ID: Other	07/04/18 11:33:07	3.66	3.71	1530729187.5	37.294301	-122.017325	-1.50	84.03	3750	76	0	160	11:33:24	4.694592e+04
ICAO: a8ca82 (0)	Flight ID: N666	07/04/18 11:41:41	4.02	4.05	1530729701.1	37.253801	-122.147429	-0.03	89.83	3600	138	-591	160	11:42:00	1.318478e+04
ICAO: a06f5a (2)	Flight ID: SKW5286	07/04/18 16:32:41	0.07	1.36	1530747161.8	37.27581	-122.079601	0.03	90.30	7941	284	-1412	344	16:32:48	1.856534e+06
ICAO: a06f5a (4)	Flight ID: SKW5592	07/04/18 21:37:30	0.30	1.37	1530765450.9	37.278992	-122.080896	-0.22	81.61	7850	286	-1444	344	21:37:37	1.779381e+06
